discontinued_date,update_type,initial_posting_date,generic_name,update_date,therapeutic_category,dosage_form,company_name,status,availability,shortage_reason,brand_name,route,year,duration_days
,Reverified,2023-07-26,"Methylphenidate Hydrochloride Tablet, Extended Release",2026-03-02,Psychiatry,Tablet,"Lannett Company, Inc.",Current,Available, Available,METHYLPHENIDATE HYDROCHLORIDE,ORAL,2023,950
,Reverified,2020-04-10,Dexmedetomidine Hydrochloride Injection,2026-03-13,Anesthesia,Injection,Pfizer Inc.,Current,Available, Available,PRECEDEX,INTRAVENOUS,2020,2163
,Revised,2023-07-26,"Methylphenidate Hydrochloride Tablet, Extended Release",2026-03-02,Psychiatry,Tablet,"Teva Pharmaceuticals USA, Inc.",Current,Available, Available,METHYLPHENIDATE HYDROCHLORIDE,ORAL,2023,950
,Reverified,2018-02-20,Bupivacaine Hydrochloride Injection,2026-02-25,Anesthesia,Injection,"Fresenius Kabi USA, LLC",Current,Available, Available,SENSORCAINE MPF,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL",2018,2927
,Revised,2018-02-20,Bupivacaine Hydrochloride Injection,2026-03-06,Anesthesia,Injection,Eugia US LLC,Current,Available, Available,BUPIVACAINE HYDROCHLORIDE,"EPIDURAL, INFILTRATION, INTRACAUDAL",2018,2936
,Revised,2018-05-03,Lorazepam Injection,2026-03-13,Neurology,Injection,"Hospira, Inc., a Pfizer Company",Current,Limited Availability,Other,LORAZEPAM,"INTRAMUSCULAR, INTRAVENOUS",2018,2871
2025-11-07,New,2025-11-07,Dextrose Monohydrate 50% Injection,2025-11-07,Endocrinology/Metabolism,Injection,"Hospira, Inc., a Pfizer Company",To Be Discontinued,To Be Discontinued,Not Applicable,,,2025,0
,Revised,2021-12-15,Methylprednisolone Acetate Injection,2026-03-06,Rheumatology,Injection,Eugia US LLC,Current,Unavailable,Demand increase for the drug,METHYLPREDNISOLONE ACETATE,"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, SOFT TISSUE",2021,1542
,Reverified,2021-04-10,Dexmedetomidine Hydrochloride Injection,2025-08-19,Anesthesia,Injection,"Meitheal Pharmaceuticals, Inc.",Current,Available, Available,DEXMEDETOMIDINE,INTRAVENOUS,2021,1592
,Reverified,2022-10-12,"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",2026-03-02,Psychiatry,Tablet,"Lannett Company, Inc.",Current,Available, Available,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE, DEXTROAMPHETAMINE SULFATE AND AMPHETAMINE SULFATE",ORAL,2022,1237
2025-12-04,New,2025-12-04,Calcitriol Capsule,2025-12-04,Endocrinology/Metabolism,Capsule,"Teva Pharmaceuticals USA, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,CALCITRIOL,ORAL,2025,0
,Revised,2018-02-20,"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",2026-03-13,Anesthesia,Injection,"Hospira, Inc., a Pfizer Company",Current,Unavailable,Other,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,PERINEURAL,2018,2943
,Reverified,2023-03-13,Methotrexate Sodium Injection,2026-03-13,Rheumatology,Injection,"Hospira, Inc., a Pfizer Company",Current,Available, Available,METHOTREXATE,"INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS",2023,1096
2025-07-29,New,2025-07-29,Esterified Estrogens Tablet,2025-07-29,Endocrinology/Metabolism,Tablet,Pfizer Inc.,To Be Discontinued,To Be Discontinued,Not Applicable,MENEST,ORAL,2025,0
,Reverified,2020-04-02,Midazolam Hydrochloride Injection,2025-09-29,Anesthesia,Injection,Gland Pharma Limited,Current,Available,Other,,,2020,2006
,Reverified,2022-03-01,Dextrose Monohydrate 10% Injection,2026-03-06,Endocrinology/Metabolism,Injection,Otsuka ICU Medical LLC,Current,Available, Available,DEXTROSE,INTRAVENOUS,2022,1466
,Revised,2021-12-15,Methylprednisolone Acetate Injection,2026-02-09,Rheumatology,Injection,Amneal Pharmaceuticals,Current,Available, Available,METHYLPREDNISOLONE ACETATE,"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, SOFT TISSUE",2021,1517
,Reverified,2023-04-28,Carboplatin Injection,2025-09-29,Oncology,Injection,Gland Pharma Limited,Current,Unavailable,Discontinuation of the manufacture of the drug,CARBOPLATIN,INTRAVENOUS,2023,885
2025-08-15,New,2025-08-15,Celecoxib Capsule,2025-08-15,Analgesia/Addiction,Capsule,"Teva Pharmaceuticals USA, Inc.",To Be Discontinued,To Be Discontinued,Not Applicable,CELECOXIB,ORAL,2025,0
,Reverified,2023-07-26,"Methylphenidate Hydrochloride Tablet, Extended Release",2026-03-02,Psychiatry,Tablet,"Vertical Pharmaceuticals, LLC",Current,Available, Available,RELEXXII,ORAL,2023,950
,Revised,2023-12-20,Fentanyl Citrate Injection,2026-03-12,Analgesia/Addiction,Injection,"Hikma Pharmaceuticals USA, Inc.",Current,Unavailable,Other,FENTANYL CITRATE,"INTRAMUSCULAR, INTRAVENOUS",2023,813
,Revised,2020-04-02,Midazolam Hydrochloride Injection,2026-03-12,Anesthesia,Injection,"Hikma Pharmaceuticals USA, Inc.",Current,Unavailable,Demand increase for the drug,MIDAZOLAM,"INTRAMUSCULAR, INTRAVENOUS",2020,2170
,Reverified,2022-01-13,Dextrose Monohydrate 50% Injection,2026-03-03,Endocrinology/Metabolism,Injection,"Amphastar Pharmaceuticals, Inc.",Current,Limited Availability,Demand increase for the drug,DEXTROSE MONOHYDRATE,INTRAVENOUS,2022,1510
